,Host 5,Host 6,Host 7,Host 8,Host 9,Host 10,Host 11,Host 12,,,,,,,,
13,16.9666666666667,7.18,8.46666666666667,7.18333333333333,17,7.18,8.46666666666667,7.17666666666667,14.7,8.17333333333333,8.76666666666667,8.17333333333333,14.7,8.17333333333333,8.77333333333333,8.17
14,17.5666666666667,7.02,8.21,7.02,17.5666666666667,7.01666666666667,8.21333333333333,7.01666666666667,14.8333333333333,8.14333333333333,8.64666666666667,8.14666666666667,14.8333333333333,8.15,8.65,8.15
15,18.1,6.87666666666667,7.97666666666667,6.87666666666667,18.1,6.87666666666667,7.97666666666667,6.87333333333333,14.9666666666667,8.12333333333333,8.55,8.12666666666667,14.9666666666667,8.12666666666667,8.53333333333333,8.12666666666667
16,18.5333333333333,6.75666666666667,7.75333333333333,6.75,18.5666666666667,6.74333333333333,7.75666666666667,6.75333333333333,15.0333333333333,8.08,8.44333333333333,8.07666666666667,15.0333333333333,8.07333333333333,8.44333333333333,8.08333333333333
17,18.9666666666667,6.64,7.55666666666667,6.64,19,6.64,7.55666666666667,6.64333333333333,15.2,8.08333333333333,8.39333333333333,8.08666666666667,15.2333333333333,8.09,8.40333333333333,8.08666666666667
18,19.3666666666667,6.54333333333333,7.37,6.54,19.3333333333333,6.54,7.37666666666667,6.53666666666667,15.3,8.07,8.33333333333333,8.07333333333333,15.3,8.06666666666667,8.33666666666667,8.06666666666667
19,19.7,6.45,7.20333333333333,6.45666666666667,19.7,6.45333333333333,7.20666666666667,6.45666666666667,15.4,8.06,8.27333333333333,8.05333333333333,15.4,8.05666666666667,8.28,8.05333333333333
20,19.9666666666667,6.37333333333333,7.05666666666667,6.37333333333333,20,6.37333333333333,7.05666666666667,6.37333333333333,15.5,8.04666666666667,8.23666666666667,8.04333333333333,15.5,8.04333333333333,8.23,8.04
21,20.2666666666667,6.31,6.92666666666667,6.30333333333333,20.3,6.30333333333333,6.93,6.31,15.5333333333333,8.04,8.19666666666667,8.03666666666667,15.5,8.03666666666667,8.19666666666667,8.03666666666667
22,20.5,6.24,6.80333333333333,6.24333333333333,20.5,6.24666666666667,6.8,6.24666666666667,15.6,8.02,8.16666666666667,8.02666666666667,15.6,8.02333333333333,8.16333333333333,8.02666666666667
23,20.7,6.18666666666667,6.69,6.18666666666667,20.7,6.19333333333333,6.69333333333333,6.18333333333333,15.6,8.02,8.14,8.01666666666667,15.6,8.00666666666667,8.14,8.01333333333333
24,20.9333333333333,6.14,6.59,6.14333333333333,20.9333333333333,6.14,6.59,6.14,15.6,7.98,8.08666666666667,7.98666666666667,15.6333333333333,7.98333333333333,8.09,7.99
25,21.1,6.09,6.5,6.09666666666667,21.1,6.08666666666667,6.50333333333333,6.08666666666667,15.7,7.99333333333333,8.08666666666667,8.00333333333333,15.7,8,8.09333333333333,8.00333333333333
26,21.2,6.04333333333333,6.41,6.04333333333333,21.2,6.05333333333333,6.42,6.05333333333333,15.7333333333333,7.99666666666667,8.07666666666667,7.98666666666667,15.7,7.99666666666667,8.07333333333333,7.99333333333333
27,21.4,6.01,6.34666666666667,6.01,21.4,6.01333333333333,6.35,6.01666666666667,15.8,7.99,8.06,7.99666666666667,15.8,7.99333333333333,8.05666666666667,7.99333333333333
28,21.6,5.98333333333333,6.28666666666667,5.98333333333333,21.6,5.98666666666667,6.28,5.97666666666667,15.7333333333333,7.96333333333333,8.02666666666667,7.96333333333333,15.7333333333333,7.97333333333333,8.03,7.97
29,21.7,5.95,6.22,5.95666666666667,21.7,5.94666666666667,6.22333333333333,5.95333333333333,15.8,7.98333333333333,8.03,7.98333333333333,15.8,7.98,8.03666666666667,7.98
30,21.8,5.92666666666667,6.16666666666667,5.92666666666667,21.8,5.92333333333333,6.16333333333333,5.93,15.8,7.97666666666667,8.02666666666667,7.97666666666667,15.8,7.98333333333333,8.02,7.98
31,21.9,5.90333333333333,6.11333333333333,5.91,21.9,5.9,6.11666666666667,5.9,15.8,7.98,8.01666666666667,7.97333333333333,15.8333333333333,7.97666666666667,8.02,7.97333333333333
32,21.9666666666667,5.88,6.07333333333333,5.88333333333333,21.9666666666667,5.88,6.08,5.88,15.8666666666667,7.97333333333333,8.00333333333333,7.97666666666667,15.9,7.97,8.00666666666667,7.97333333333333
33,22,5.86,6.04,5.86,22.0333333333333,5.86,6.04333333333333,5.86,15.8333333333333,7.96666666666667,7.99666666666667,7.97333333333333,15.8666666666667,7.97333333333333,8,7.97
34,22.1,5.84666666666667,6.00333333333333,5.84333333333333,22.1,5.84666666666667,6.01333333333333,5.84666666666667,15.9,7.97,8,7.97333333333333,15.9,7.97333333333333,7.99,7.96666666666667
35,22.1666666666667,5.83333333333333,5.96666666666667,5.83,22.2,5.82666666666667,5.97,5.83333333333333,15.8333333333333,7.95666666666667,7.97,7.94666666666667,15.8333333333333,7.95,7.97,7.95333333333333
36,22.2,5.81333333333333,5.94333333333333,5.81,22.2,5.81333333333333,5.94333333333333,5.81333333333333,15.9,7.96,7.98333333333333,7.97333333333333,15.9,7.97333333333333,7.98666666666667,7.97
37,22.1333333333333,5.8,5.91666666666667,5.79666666666667,22.1333333333333,5.79666666666667,5.91,5.79333333333333,15.8333333333333,7.95,7.97,7.95333333333333,15.8333333333333,7.95333333333333,7.96666666666667,7.95333333333333
38,22.1333333333333,5.78666666666667,5.89333333333333,5.78333333333333,22.2,5.78666666666667,5.89,5.78333333333333,15.9,7.96666666666667,7.97666666666667,7.96666666666667,15.9,7.97,7.97666666666667,7.96333333333333
39,22.4,5.77666666666667,5.87,5.77666666666667,22.4,5.77666666666667,5.87666666666667,5.77333333333333,15.9,7.96333333333333,7.97333333333333,7.96,15.9,7.96,7.97333333333333,7.96
40,22.4,5.76666666666667,5.85,5.77,22.4,5.76333333333333,5.85666666666667,5.76333333333333,15.9,7.96333333333333,7.97,7.96,15.9,7.96333333333333,7.97,7.96333333333333
41,22.4666666666667,5.76,5.83666666666667,5.76,22.4666666666667,5.76333333333333,5.84,5.75666666666667,15.9,7.96666666666667,7.97666666666667,7.96,15.9,7.97,7.97333333333333,7.96666666666667
42,22.5,5.75,5.82,5.75333333333333,22.5,5.75333333333333,5.82333333333333,5.74333333333333,15.9,7.96666666666667,7.96333333333333,7.96333333333333,15.9,7.96666666666667,7.97,7.96666666666667
43,22.5,5.75333333333333,5.80666666666667,5.74333333333333,22.5,5.74666666666667,5.80666666666667,5.75,15.9,7.96,7.96666666666667,7.96,15.9,7.96333333333333,7.97,7.96333333333333
44,22.5333333333333,5.74,5.79,5.73666666666667,22.5,5.74333333333333,5.79333333333333,5.74,15.9,7.96333333333333,7.97333333333333,7.96333333333333,15.9,7.96666666666667,7.96333333333333,7.96666666666667
45,22.5666666666667,5.73333333333333,5.78,5.73666666666667,22.5333333333333,5.73333333333333,5.78333333333333,5.73666666666667,15.9,7.96666666666667,7.97,7.96666666666667,15.9,7.96333333333333,7.97,7.96666666666667
46,22.6,5.73,5.77333333333333,5.72666666666667,22.5666666666667,5.72666666666667,5.77333333333333,5.73,15.9,7.96,7.97,7.95666666666667,15.9,7.96333333333333,7.96333333333333,7.97
47,22.6,5.72666666666667,5.76333333333333,5.73,22.6,5.72333333333333,5.76666666666667,5.72333333333333,15.9,7.96333333333333,7.94333333333333,7.96666666666667,15.9,7.96,7.96333333333333,7.96333333333333
48,22.6,5.72,5.76,5.72333333333333,22.6,5.72666666666667,5.76,5.72333333333333,15.9,7.96333333333333,7.96666666666667,7.96,15.9,7.96333333333333,7.96,7.96333333333333
49,22.6,5.71666666666667,5.75,5.71666666666667,22.6,5.72,5.75,5.71333333333333,15.9,7.96333333333333,7.96666666666667,7.95666666666667,15.9,7.96333333333333,7.96666666666667,7.96333333333333
50,22.6,5.71666666666667,5.74,5.71333333333333,22.6333333333333,5.71333333333333,5.74,5.71333333333333,15.9,7.95666666666667,7.96333333333333,7.96333333333333,15.9,7.95666666666667,7.96333333333333,7.96333333333333
51,22.6666666666667,5.71333333333333,5.74,5.71333333333333,22.6333333333333,5.71,5.73666666666667,5.71,15.9,7.95666666666667,7.96333333333333,7.96666666666667,15.9,7.96333333333333,7.96666666666667,7.96333333333333
52,22.6666666666667,5.70666666666667,5.73333333333333,5.70666666666667,22.6666666666667,5.71,5.73666666666667,5.71333333333333,15.9,7.96666666666667,7.96666666666667,7.96666666666667,15.9,7.96,7.96333333333333,7.96333333333333
53,22.6666666666667,5.71333333333333,5.72666666666667,5.71,22.7,5.70666666666667,5.72666666666667,5.71,15.9,7.96,7.96333333333333,7.96333333333333,15.9,7.96333333333333,7.96,7.95666666666667
54,22.7,5.70666666666667,5.72333333333333,5.71,22.6666666666667,5.70666666666667,5.72333333333333,5.70333333333333,15.9,7.94333333333333,7.96666666666667,7.96333333333333,15.9,7.96333333333333,7.96333333333333,7.96333333333333
55,22.7,5.7,5.72,5.70333333333333,22.7,5.7,5.71666666666667,5.7,15.7666666666667,7.92333333333333,7.92333333333333,7.92,15.7666666666667,7.92666666666667,7.93333333333333,7.92666666666667
56,22.7,5.7,5.71666666666667,5.7,22.7,5.7,5.71666666666667,5.70333333333333,15.9,7.96,7.96333333333333,7.96333333333333,15.9,7.95666666666667,7.95333333333333,7.95666666666667
57,22.7,5.7,5.71333333333333,5.7,22.7,5.70666666666667,5.71,5.70333333333333,15.9,7.96333333333333,7.96333333333333,7.96333333333333,15.9,7.95333333333333,7.96666666666667,7.95666666666667
58,22.4666666666667,5.66666666666667,5.67666666666667,5.66333333333333,22.4666666666667,5.67,5.68,5.66666666666667,15.9,7.96,7.95666666666667,7.96333333333333,15.8666666666667,7.95333333333333,7.96,7.96333333333333
59,22.7,5.69333333333333,5.71,5.69666666666667,22.6,5.69666666666667,5.70666666666667,5.69666666666667,15.9,7.96,7.96666666666667,7.95666666666667,15.9,7.95333333333333,7.96,7.95666666666667
60,22.7,5.69666666666667,5.70333333333333,5.69666666666667,22.7,5.69333333333333,5.70333333333333,5.7,15.9,7.96333333333333,7.96,7.96,15.9,7.95666666666667,7.96333333333333,7.96
